Latitude (decimal degrees):	45.044
Longitude (decimal degrees):	7.639
Elevation (m):	257
Radiation database:	PVGIS-ERA5


Slope: 42 deg. (optimum)
Azimuth: -3 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	83.2
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0030,0.0,0.0,0.0,0.0,0.0,2.55,0.14,0.0
20180101:0130,0.0,0.0,0.0,0.0,0.0,2.34,0.28,0.0
20180101:0230,0.0,0.0,0.0,0.0,0.0,2.31,0.07,0.0
20180101:0330,0.0,0.0,0.0,0.0,0.0,2.29,0.34,0.0
20180101:0430,0.0,0.0,0.0,0.0,0.0,2.35,0.48,0.0
20180101:0530,0.0,0.0,0.0,0.0,0.0,2.26,0.69,0.0
20180101:0630,0.0,0.0,0.0,0.0,0.0,2.55,0.62,0.0
20180101:0730,4321.51,57.22,17.56,0.51,2.38,2.82,0.07,0.0
20180101:0830,26550.09,283.85,84.11,3.22,10.22,2.52,0.28,0.0
20180101:0930,39882.58,446.83,107.72,5.76,16.41,3.45,0.48,0.0
20180101:1030,50718.4,578.01,146.01,8.17,20.45,5.07,0.55,0.0
20180101:1130,53864.42,646.6,133.68,8.94,21.94,6.89,0.62,0.0
20180101:1230,51830.62,618.36,132.73,8.53,20.71,8.5,0.83,0.0
20180101:1330,44989.96,533.7,112.2,6.85,16.9,9.57,1.03,0.0
20180101:1430,30931.54,356.5,85.55,4.0,10.89,9.62,0.9,0.0
20180101:1530,5238.09,70.1,20.58,0.67,3.19,8.71,0.97,0.0
20180101:1630,0.0,0.0,0.0,0.0,0.0,7.71,0.48,0.0
20180101:1730,0.0,0.0,0.0,0.0,0.0,6.19,0.07,0.0
20180101:1830,0.0,0.0,0.0,0.0,0.0,4.0,1.03,0.0
20180101:1930,0.0,0.0,0.0,0.0,0.0,4.13,0.76,0.0
20180101:2030,0.0,0.0,0.0,0.0,0.0,3.19,0.34,0.0
20180101:2130,0.0,0.0,0.0,0.0,0.0,2.71,0.41,0.0
20180101:2230,0.0,0.0,0.0,0.0,0.0,2.05,0.76,0.0
20180101:2330,0.0,0.0,0.0,0.0,0.0,1.61,0.83,0.0
20180102:0030,0.0,0.0,0.0,0.0,0.0,0.85,1.03,0.0
20180102:0130,0.0,0.0,0.0,0.0,0.0,1.33,0.83,0.0
20180102:0230,0.0,0.0,0.0,0.0,0.0,-0.4,1.31,0.0
20180102:0330,0.0,0.0,0.0,0.0,0.0,-2.33,2.21,0.0
20180102:0430,0.0,0.0,0.0,0.0,0.0,-2.04,2.48,0.0
20180102:0530,0.0,0.0,0.0,0.0,0.0,-1.91,2.55,0.0
20180102:0630,0.0,0.0,0.0,0.0,0.0,-1.83,2.69,0.0
20180102:0730,12196.12,153.79,24.29,0.72,2.38,-1.29,2.62,0.0
20180102:0830,32958.67,347.7,94.89,3.7,10.24,-0.6,2.48,0.0
20180102:0930,48423.2,544.38,121.93,6.72,16.45,2.82,2.07,0.0
20180102:1030,58190.92,709.89,122.26,9.02,20.52,7.09,1.93,0.0
20180102:1130,57139.47,681.41,139.68,9.38,22.03,9.22,2.21,0.0
20180102:1230,42236.06,409.66,185.12,7.65,20.81,9.84,2.41,0.0
20180102:1330,31598.37,292.29,154.65,5.76,17.01,10.45,1.59,0.0
20180102:1430,29501.3,329.3,91.7,3.95,11.02,9.44,0.9,0.0
20180102:1530,6936.39,92.25,23.23,0.77,3.32,9.8,0.55,0.0
20180102:1630,0.0,0.0,0.0,0.0,0.0,9.08,0.83,0.0
20180102:1730,0.0,0.0,0.0,0.0,0.0,7.9,1.17,0.0
20180102:1830,0.0,0.0,0.0,0.0,0.0,6.33,1.38,0.0
20180102:1930,0.0,0.0,0.0,0.0,0.0,7.34,1.1,0.0
20180102:2030,0.0,0.0,0.0,0.0,0.0,6.45,1.03,0.0
20180102:2130,0.0,0.0,0.0,0.0,0.0,5.97,0.62,0.0
20180102:2230,0.0,0.0,0.0,0.0,0.0,5.67,0.9,0.0
20180102:2330,0.0,0.0,0.0,0.0,0.0,5.52,0.97,0.0
20180103:0030,0.0,0.0,0.0,0.0,0.0,5.1,0.76,0.0
20180103:0130,0.0,0.0,0.0,0.0,0.0,4.44,0.41,0.0
20180103:0230,0.0,0.0,0.0,0.0,0.0,3.53,0.62,0.0
20180103:0330,0.0,0.0,0.0,0.0,0.0,3.11,0.76,0.0
20180103:0430,0.0,0.0,0.0,0.0,0.0,2.98,0.55,0.0
20180103:0530,0.0,0.0,0.0,0.0,0.0,2.54,0.21,0.0
20180103:0630,0.0,0.0,0.0,0.0,0.0,1.62,0.28,0.0
20180103:0730,7548.28,96.15,23.15,0.65,2.39,2.78,0.21,0.0
20180103:0830,21937.21,214.69,91.6,3.04,10.27,2.99,0.14,0.0
20180103:0930,30707.6,287.78,139.55,5.23,16.5,4.81,0.34,0.0
20180103:1030,37161.14,367.01,155.29,6.66,20.59,6.71,0.55,0.0
20180103:1130,38999.3,392.87,157.86,7.16,22.12,8.42,0.97,0.0
20180103:1230,40794.16,425.54,154.11,7.25,20.92,9.59,1.17,0.0
20180103:1330,23428.22,218.74,111.79,4.47,17.14,9.82,1.79,0.0
20180103:1430,14198.29,133.33,73.82,2.6,11.15,8.93,1.86,0.0
20180103:1530,5368.79,72.97,18.84,0.66,3.45,7.3,2.14,0.0
20180103:1630,0.0,0.0,0.0,0.0,0.0,5.69,2.14,0.0
20180103:1730,0.0,0.0,0.0,0.0,0.0,4.44,1.79,0.0
20180103:1830,0.0,0.0,0.0,0.0,0.0,3.62,1.72,0.0
20180103:1930,0.0,0.0,0.0,0.0,0.0,6.05,1.17,0.0
20180103:2030,0.0,0.0,0.0,0.0,0.0,5.77,0.76,0.0
20180103:2130,0.0,0.0,0.0,0.0,0.0,5.12,0.69,0.0
20180103:2230,0.0,0.0,0.0,0.0,0.0,4.88,0.48,0.0
20180103:2330,0.0,0.0,0.0,0.0,0.0,4.45,0.41,0.0
20180104:0030,0.0,0.0,0.0,0.0,0.0,3.87,0.34,0.0
20180104:0130,0.0,0.0,0.0,0.0,0.0,3.36,0.34,0.0
20180104:0230,0.0,0.0,0.0,0.0,0.0,3.37,0.34,0.0
20180104:0330,0.0,0.0,0.0,0.0,0.0,2.92,0.48,0.0
20180104:0430,0.0,0.0,0.0,0.0,0.0,3.01,0.07,0.0
20180104:0530,0.0,0.0,0.0,0.0,0.0,2.83,0.14,0.0
20180104:0630,0.0,0.0,0.0,0.0,0.0,2.74,0.41,0.0
20180104:0730,6298.7,83.82,18.47,0.55,2.41,2.65,0.14,0.0
20180104:0830,16756.56,157.49,79.14,2.61,10.31,3.16,0.41,0.0
20180104:0930,33084.38,322.72,136.32,5.4,16.55,4.28,0.48,0.0
20180104:1030,33111.86,309.81,151.61,6.19,20.66,6.11,0.69,0.0
20180104:1130,44865.09,459.55,176.2,8.06,22.22,6.8,0.83,0.0
20180104:1230,47864.59,528.91,150.1,8.08,21.04,7.27,1.24,0.0
20180104:1330,36236.23,378.32,129.53,5.96,17.27,7.61,1.24,0.0
20180104:1430,21138.84,223.44,76.78,3.15,11.29,7.74,1.1,0.0
20180104:1530,8272.55,109.52,23.19,0.83,3.59,7.14,1.03,0.0
20180104:1630,0.0,0.0,0.0,0.0,0.0,5.71,1.17,0.0
20180104:1730,0.0,0.0,0.0,0.0,0.0,4.64,1.03,0.0
20180104:1830,0.0,0.0,0.0,0.0,0.0,4.65,0.69,0.0
20180104:1930,0.0,0.0,0.0,0.0,0.0,5.97,0.97,0.0
20180104:2030,0.0,0.0,0.0,0.0,0.0,5.64,0.62,0.0
20180104:2130,0.0,0.0,0.0,0.0,0.0,5.23,0.83,0.0
20180104:2230,0.0,0.0,0.0,0.0,0.0,5.2,0.69,0.0
20180104:2330,0.0,0.0,0.0,0.0,0.0,5.19,0.34,0.0
20180105:0030,0.0,0.0,0.0,0.0,0.0,5.0,0.34,0.0
20180105:0130,0.0,0.0,0.0,0.0,0.0,4.71,0.34,0.0
20180105:0230,0.0,0.0,0.0,0.0,0.0,4.41,0.34,0.0
20180105:0330,0.0,0.0,0.0,0.0,0.0,4.05,0.21,0.0
20180105:0430,0.0,0.0,0.0,0.0,0.0,3.66,0.28,0.0
20180105:0530,0.0,0.0,0.0,0.0,0.0,3.09,0.76,0.0
20180105:0630,0.0,0.0,0.0,0.0,0.0,2.58,0.62,0.0
20180105:0730,7594.06,101.65,18.6,0.58,2.44,3.09,0.34,0.0
20180105:0830,20646.83,214.17,73.88,2.77,10.35,3.17,0.55,0.0
20180105:0930,17607.38,144.44,102.55,3.67,16.62,3.91,0.41,0.0
20180105:1030,22252.72,191.29,118.51,4.66,20.75,5.22,0.48,0.0
20180105:1130,29988.32,274.45,141.45,5.94,22.33,6.08,0.9,0.0
20180105:1230,41530.1,464.89,115.51,6.97,21.17,6.48,1.17,0.0
20180105:1330,37127.0,419.65,96.48,5.78,17.4,6.57,1.45,0.0
20180105:1430,23150.16,256.58,68.12,3.23,11.43,6.36,1.52,0.0
20180105:1530,6476.02,88.81,18.1,0.7,3.74,5.84,1.24,0.0
20180105:1630,0.0,0.0,0.0,0.0,0.0,5.3,1.1,0.0
20180105:1730,0.0,0.0,0.0,0.0,0.0,4.77,0.9,0.0
20180105:1830,0.0,0.0,0.0,0.0,0.0,4.91,0.62,0.0
20180105:1930,0.0,0.0,0.0,0.0,0.0,3.96,0.97,0.0
20180105:2030,0.0,0.0,0.0,0.0,0.0,3.97,0.9,0.0
20180105:2130,0.0,0.0,0.0,0.0,0.0,4.17,0.83,0.0
20180105:2230,0.0,0.0,0.0,0.0,0.0,4.65,0.62,0.0
20180105:2330,0.0,0.0,0.0,0.0,0.0,4.9,0.34,0.0
20180106:0030,0.0,0.0,0.0,0.0,0.0,4.79,0.14,0.0
20180106:0130,0.0,0.0,0.0,0.0,0.0,4.7,0.07,0.0
20180106:0230,0.0,0.0,0.0,0.0,0.0,4.76,0.21,0.0
20180106:0330,0.0,0.0,0.0,0.0,0.0,4.87,0.34,0.0
20180106:0430,0.0,0.0,0.0,0.0,0.0,4.98,0.41,0.0
20180106:0530,0.0,0.0,0.0,0.0,0.0,5.15,0.41,0.0
20180106:0630,0.0,0.0,0.0,0.0,0.0,5.22,0.34,0.0
20180106:0730,0.0,0.0,2.09,0.06,2.47,4.12,0.69,0.0
20180106:0830,124.88,0.0,8.75,0.26,10.4,4.61,0.41,0.0
20180106:0930,918.25,0.0,23.63,0.7,16.69,4.91,0.21,0.0
20180106:1030,745.92,0.0,20.76,0.62,20.84,5.24,0.07,0.0
20180106:1130,399.6,0.0,14.53,0.43,22.44,5.41,0.21,0.0
20180106:1230,1005.66,0.0,25.11,0.74,21.3,5.44,0.28,0.0
20180106:1330,664.34,0.0,19.36,0.57,17.55,5.62,0.21,0.0
20180106:1430,189.81,0.0,10.27,0.3,11.58,5.81,0.07,0.0
20180106:1530,0.0,0.0,3.57,0.11,3.89,5.86,0.0,0.0
20180106:1630,0.0,0.0,0.0,0.0,0.0,5.9,0.28,0.0
20180106:1730,0.0,0.0,0.0,0.0,0.0,5.94,0.48,0.0
20180106:1830,0.0,0.0,0.0,0.0,0.0,5.8,0.62,0.0
20180106:1930,0.0,0.0,0.0,0.0,0.0,5.59,0.41,0.0
20180106:2030,0.0,0.0,0.0,0.0,0.0,5.77,0.48,0.0
20180106:2130,0.0,0.0,0.0,0.0,0.0,5.88,0.62,0.0
20180106:2230,0.0,0.0,0.0,0.0,0.0,6.14,0.41,0.0
20180106:2330,0.0,0.0,0.0,0.0,0.0,6.18,0.55,0.0
20180107:0030,0.0,0.0,0.0,0.0,0.0,5.64,0.69,0.0
20180107:0130,0.0,0.0,0.0,0.0,0.0,6.07,0.48,0.0
20180107:0230,0.0,0.0,0.0,0.0,0.0,6.11,0.41,0.0
20180107:0330,0.0,0.0,0.0,0.0,0.0,6.06,0.62,0.0
20180107:0430,0.0,0.0,0.0,0.0,0.0,5.32,0.83,0.0
20180107:0530,0.0,0.0,0.0,0.0,0.0,4.96,1.03,0.0
20180107:0630,0.0,0.0,0.0,0.0,0.0,4.9,1.1,0.0
20180107:0730,0.0,0.0,3.0,0.09,2.5,5.18,1.03,0.0
20180107:0830,514.48,0.0,16.67,0.49,10.45,5.39,0.97,0.0
20180107:0930,993.17,0.0,24.93,0.74,16.76,5.92,0.9,0.0
20180107:1030,1302.86,0.0,29.94,0.89,20.94,6.32,1.31,0.0
20180107:1130,561.94,0.0,17.62,0.52,22.56,7.0,1.59,0.0
20180107:1230,1809.85,0.0,37.81,1.12,21.44,7.0,1.72,0.0
20180107:1330,243.92,0.0,11.49,0.34,17.7,7.38,1.79,0.0
20180107:1430,89.91,0.0,7.96,0.24,11.74,7.2,1.59,0.0
20180107:1530,0.0,0.0,2.44,0.07,4.05,7.17,1.59,0.0
20180107:1630,0.0,0.0,0.0,0.0,0.0,7.05,1.72,0.0
20180107:1730,0.0,0.0,0.0,0.0,0.0,6.99,1.72,0.0
20180107:1830,0.0,0.0,0.0,0.0,0.0,6.93,1.79,0.0
20180107:1930,0.0,0.0,0.0,0.0,0.0,6.77,1.79,0.0
20180107:2030,0.0,0.0,0.0,0.0,0.0,6.82,2.0,0.0
20180107:2130,0.0,0.0,0.0,0.0,0.0,6.82,2.0,0.0
20180107:2230,0.0,0.0,0.0,0.0,0.0,6.84,2.0,0.0
20180107:2330,0.0,0.0,0.0,0.0,0.0,6.89,2.07,0.0
20180108:0030,0.0,0.0,0.0,0.0,0.0,6.97,2.28,0.0
20180108:0130,0.0,0.0,0.0,0.0,0.0,7.07,2.34,0.0
20180108:0230,0.0,0.0,0.0,0.0,0.0,7.21,2.41,0.0
20180108:0330,0.0,0.0,0.0,0.0,0.0,7.37,2.41,0.0
20180108:0430,0.0,0.0,0.0,0.0,0.0,7.51,2.41,0.0
20180108:0530,0.0,0.0,0.0,0.0,0.0,7.59,2.41,0.0
20180108:0630,0.0,0.0,0.0,0.0,0.0,7.68,2.41,0.0
20180108:0730,0.0,0.0,0.83,0.02,2.55,7.28,2.14,0.0
20180108:0830,121.54,0.0,8.75,0.26,10.51,7.38,2.62,0.0
20180108:0930,390.44,0.0,14.45,0.43,16.85,7.55,2.76,0.0
20180108:1030,323.84,0.0,13.14,0.39,21.05,7.67,2.55,0.0
20180108:1130,646.85,0.0,19.19,0.57,22.69,7.82,2.41,0.0
20180108:1230,755.91,0.0,21.1,0.63,21.58,7.97,2.48,0.0
20180108:1330,511.16,0.0,16.75,0.5,17.85,8.11,2.48,0.0
20180108:1430,129.87,0.0,8.96,0.27,11.9,8.11,2.62,0.0
20180108:1530,0.0,0.0,1.78,0.05,4.21,8.0,2.69,0.0
20180108:1630,0.0,0.0,0.0,0.0,0.0,7.84,2.9,0.0
20180108:1730,0.0,0.0,0.0,0.0,0.0,7.87,3.38,0.0
20180108:1830,0.0,0.0,0.0,0.0,0.0,7.98,3.86,0.0
20180108:1930,0.0,0.0,0.0,0.0,0.0,8.42,4.76,0.0
20180108:2030,0.0,0.0,0.0,0.0,0.0,8.5,5.38,0.0
20180108:2130,0.0,0.0,0.0,0.0,0.0,8.54,5.72,0.0
20180108:2230,0.0,0.0,0.0,0.0,0.0,8.67,4.97,0.0
20180108:2330,0.0,0.0,0.0,0.0,0.0,8.63,3.59,0.0
20180109:0030,0.0,0.0,0.0,0.0,0.0,8.6,2.83,0.0
20180109:0130,0.0,0.0,0.0,0.0,0.0,8.28,1.72,0.0
20180109:0230,0.0,0.0,0.0,0.0,0.0,8.1,1.31,0.0
20180109:0330,0.0,0.0,0.0,0.0,0.0,7.81,1.1,0.0
20180109:0430,0.0,0.0,0.0,0.0,0.0,7.34,1.38,0.0
20180109:0530,0.0,0.0,0.0,0.0,0.0,7.24,1.86,0.0
20180109:0630,0.0,0.0,0.0,0.0,0.0,7.04,2.14,0.0
20180109:0730,0.0,0.0,3.74,0.11,2.6,7.06,2.34,0.0
20180109:0830,1425.24,13.66,18.26,0.62,10.58,7.19,2.0,0.0
20180109:0930,4077.58,12.3,57.94,1.79,16.94,7.37,1.38,0.0
20180109:1030,5124.87,18.95,65.76,2.09,21.16,7.92,0.9,0.0
20180109:1130,6138.86,27.42,71.07,2.33,22.83,8.22,0.69,0.0
20180109:1230,6048.94,19.4,78.15,2.46,21.74,8.4,0.48,0.0
20180109:1330,8526.46,54.91,75.68,2.59,18.02,8.52,0.76,0.0
20180109:1430,8257.57,74.71,52.9,1.92,12.06,8.57,1.03,0.0
20180109:1530,4207.46,59.76,15.51,0.61,4.38,8.31,1.17,0.0
20180109:1630,0.0,0.0,0.0,0.0,0.0,7.67,1.24,0.0
20180109:1730,0.0,0.0,0.0,0.0,0.0,6.71,1.38,0.0
20180109:1830,0.0,0.0,0.0,0.0,0.0,5.79,1.17,0.0
20180109:1930,0.0,0.0,0.0,0.0,0.0,6.68,0.76,0.0
20180109:2030,0.0,0.0,0.0,0.0,0.0,6.59,0.83,0.0
20180109:2130,0.0,0.0,0.0,0.0,0.0,6.1,0.9,0.0
20180109:2230,0.0,0.0,0.0,0.0,0.0,5.63,0.9,0.0
20180109:2330,0.0,0.0,0.0,0.0,0.0,4.78,0.9,0.0
20180110:0030,0.0,0.0,0.0,0.0,0.0,4.45,0.76,0.0
20180110:0130,0.0,0.0,0.0,0.0,0.0,4.16,0.76,0.0
20180110:0230,0.0,0.0,0.0,0.0,0.0,4.28,0.69,0.0
20180110:0330,0.0,0.0,0.0,0.0,0.0,4.12,0.62,0.0
20180110:0430,0.0,0.0,0.0,0.0,0.0,3.88,0.69,0.0
20180110:0530,0.0,0.0,0.0,0.0,0.0,4.09,0.62,0.0
20180110:0630,0.0,0.0,0.0,0.0,0.0,3.98,0.62,0.0
20180110:0730,2997.0,47.46,9.12,0.33,2.65,4.49,0.41,0.0
20180110:0830,3937.72,45.71,22.05,0.9,10.66,4.81,0.41,0.0
20180110:0930,10496.16,95.86,58.09,2.36,17.04,4.89,0.83,0.0
20180110:1030,14051.77,135.76,64.58,3.02,21.29,5.86,1.03,0.0
20180110:1130,21565.08,233.91,65.09,4.03,22.97,6.3,1.24,0.0
20180110:1230,15994.82,156.02,70.54,3.41,21.89,6.95,1.31,0.0
20180110:1330,15448.7,149.8,70.49,3.18,18.18,7.23,1.31,0.0
20180110:1430,11020.64,100.57,63.15,2.32,12.24,7.25,0.9,0.0
20180110:1530,2370.96,30.94,16.7,0.57,4.55,7.22,0.55,0.0
20180110:1630,0.0,0.0,0.0,0.0,0.0,6.74,0.21,0.0
20180110:1730,0.0,0.0,0.0,0.0,0.0,6.43,0.34,0.0
20180110:1830,0.0,0.0,0.0,0.0,0.0,6.25,0.34,0.0
20180110:1930,0.0,0.0,0.0,0.0,0.0,6.14,0.62,0.0
20180110:2030,0.0,0.0,0.0,0.0,0.0,5.87,0.76,0.0
20180110:2130,0.0,0.0,0.0,0.0,0.0,5.81,0.76,0.0
20180110:2230,0.0,0.0,0.0,0.0,0.0,6.15,0.48,0.0
20180110:2330,0.0,0.0,0.0,0.0,0.0,6.25,0.28,0.0
20180111:0030,0.0,0.0,0.0,0.0,0.0,6.2,0.14,0.0
20180111:0130,0.0,0.0,0.0,0.0,0.0,6.19,0.07,0.0
20180111:0230,0.0,0.0,0.0,0.0,0.0,6.16,0.07,0.0
20180111:0330,0.0,0.0,0.0,0.0,0.0,6.09,0.0,0.0
20180111:0430,0.0,0.0,0.0,0.0,0.0,5.96,0.14,0.0
20180111:0530,0.0,0.0,0.0,0.0,0.0,5.86,0.48,0.0
20180111:0630,0.0,0.0,0.0,0.0,0.0,4.98,0.97,0.0
20180111:0730,6819.84,96.39,13.52,0.51,2.71,3.49,1.24,0.0
20180111:0830,15083.24,142.05,71.98,2.49,10.74,3.47,1.17,0.0
20180111:0930,22228.58,206.53,102.71,4.13,17.14,5.17,0.76,0.0
20180111:1030,34830.14,373.88,113.62,6.12,21.42,6.89,0.55,0.0
20180111:1130,36647.48,404.27,112.34,6.61,23.12,7.75,0.41,0.0
20180111:1230,29023.45,285.44,123.61,5.72,22.06,8.35,0.28,0.0
20180111:1330,23759.55,236.68,99.77,4.52,18.36,8.63,0.21,0.0
20180111:1430,21457.69,235.11,71.48,3.33,12.41,8.6,0.41,0.0
20180111:1530,9931.72,128.17,27.68,1.1,4.73,8.35,0.62,0.0
20180111:1630,0.0,0.0,0.0,0.0,-4.23,7.49,0.62,0.0
20180111:1730,0.0,0.0,0.0,0.0,0.0,7.55,0.55,0.0
20180111:1830,0.0,0.0,0.0,0.0,0.0,6.17,1.1,0.0
20180111:1930,0.0,0.0,0.0,0.0,0.0,3.93,1.24,0.0
20180111:2030,0.0,0.0,0.0,0.0,0.0,3.42,1.1,0.0
20180111:2130,0.0,0.0,0.0,0.0,0.0,3.0,1.03,0.0
20180111:2230,0.0,0.0,0.0,0.0,0.0,2.27,1.03,0.0
20180111:2330,0.0,0.0,0.0,0.0,0.0,1.7,1.1,0.0
20180112:0030,0.0,0.0,0.0,0.0,0.0,0.87,1.24,0.0
20180112:0130,0.0,0.0,0.0,0.0,0.0,-0.09,1.45,0.0
20180112:0230,0.0,0.0,0.0,0.0,0.0,-0.53,1.52,0.0
20180112:0330,0.0,0.0,0.0,0.0,0.0,-0.92,1.52,0.0
20180112:0430,0.0,0.0,0.0,0.0,0.0,-1.18,1.52,0.0
20180112:0530,0.0,0.0,0.0,0.0,0.0,-1.4,1.45,0.0
20180112:0630,0.0,0.0,0.0,0.0,0.0,-1.43,1.45,0.0
20180112:0730,6441.88,86.88,16.77,0.56,2.78,1.1,0.97,0.0
20180112:0830,18387.43,176.91,79.56,2.8,10.83,2.18,0.83,0.0
20180112:0930,14686.96,95.81,112.17,3.71,17.25,3.1,0.55,0.0
20180112:1030,26954.68,233.48,140.85,5.56,21.55,5.25,0.41,0.0
20180112:1130,42246.04,419.92,177.25,7.99,23.28,6.85,0.69,0.0
20180112:1230,48866.92,545.82,155.24,8.63,22.23,7.82,0.83,0.0
20180112:1330,43698.76,502.66,119.91,7.14,18.54,8.51,0.97,0.0
20180112:1430,30939.86,345.16,92.85,4.47,12.6,8.6,1.1,0.0
20180112:1530,11956.36,144.01,39.18,1.36,4.91,8.08,1.03,0.0
20180112:1630,0.0,0.0,0.0,0.0,-4.05,6.65,0.9,0.0
20180112:1730,0.0,0.0,0.0,0.0,0.0,6.79,0.34,0.0
20180112:1830,0.0,0.0,0.0,0.0,0.0,6.16,0.69,0.0
20180112:1930,0.0,0.0,0.0,0.0,0.0,5.68,0.76,0.0
20180112:2030,0.0,0.0,0.0,0.0,0.0,4.49,0.76,0.0
20180112:2130,0.0,0.0,0.0,0.0,0.0,3.19,0.83,0.0
20180112:2230,0.0,0.0,0.0,0.0,0.0,1.99,0.97,0.0
20180112:2330,0.0,0.0,0.0,0.0,0.0,1.28,0.97,0.0
20180113:0030,0.0,0.0,0.0,0.0,0.0,0.81,1.03,0.0
20180113:0130,0.0,0.0,0.0,0.0,0.0,0.23,0.97,0.0
20180113:0230,0.0,0.0,0.0,0.0,0.0,-0.5,1.1,0.0
20180113:0330,0.0,0.0,0.0,0.0,0.0,-1.31,1.24,0.0
20180113:0430,0.0,0.0,0.0,0.0,0.0,-1.95,1.45,0.0
20180113:0530,0.0,0.0,0.0,0.0,0.0,-1.91,1.52,0.0
20180113:0630,0.0,0.0,0.0,0.0,0.0,-2.09,1.72,0.0
20180113:0730,6897.26,88.52,20.32,0.64,2.86,-0.74,1.52,0.0
20180113:0830,22769.71,234.46,75.39,3.03,10.93,-0.32,1.45,0.0
20180113:0930,38715.41,422.29,107.6,5.86,17.37,2.11,1.03,0.0
20180113:1030,48245.04,553.95,126.38,8.03,21.69,5.21,0.9,0.0
20180113:1130,50595.19,581.94,146.36,8.95,23.44,6.95,0.55,0.0
20180113:1230,47740.55,553.69,137.4,8.46,22.41,7.86,0.21,0.0
20180113:1330,43305.82,502.53,120.93,7.21,18.73,8.25,0.21,0.0
20180113:1430,31605.03,356.27,93.87,4.61,12.78,8.34,0.41,0.0
20180113:1530,12590.73,153.8,38.32,1.4,5.09,7.95,0.62,0.0
20180113:1630,0.0,0.0,0.0,0.0,-3.87,6.87,0.83,0.0
20180113:1730,0.0,0.0,0.0,0.0,0.0,6.8,0.69,0.0
20180113:1830,0.0,0.0,0.0,0.0,0.0,6.27,0.97,0.0
20180113:1930,0.0,0.0,0.0,0.0,0.0,3.23,1.45,0.0
20180113:2030,0.0,0.0,0.0,0.0,0.0,1.8,1.31,0.0
20180113:2130,0.0,0.0,0.0,0.0,0.0,0.69,1.24,0.0
20180113:2230,0.0,0.0,0.0,0.0,0.0,0.09,1.17,0.0
20180113:2330,0.0,0.0,0.0,0.0,0.0,-0.61,1.17,0.0
20180114:0030,0.0,0.0,0.0,0.0,0.0,-0.74,1.1,0.0
20180114:0130,0.0,0.0,0.0,0.0,0.0,-0.79,1.1,0.0
20180114:0230,0.0,0.0,0.0,0.0,0.0,-0.67,1.1,0.0
20180114:0330,0.0,0.0,0.0,0.0,0.0,-0.84,1.1,0.0
20180114:0430,0.0,0.0,0.0,0.0,0.0,-1.15,1.17,0.0
20180114:0530,0.0,0.0,0.0,0.0,0.0,-1.15,1.1,0.0
20180114:0630,0.0,0.0,0.0,0.0,0.0,-0.88,0.97,0.0
20180114:0730,4863.46,63.13,18.28,0.57,2.94,-0.54,0.62,0.0
20180114:0830,8003.66,58.74,61.34,1.97,11.03,0.03,0.48,0.0
20180114:0930,13978.51,95.24,101.42,3.46,17.5,0.66,0.41,0.0
20180114:1030,17768.05,140.14,107.48,4.14,21.85,2.75,0.14,0.0
20180114:1130,16780.7,104.31,131.67,4.58,23.62,3.73,0.21,0.0
20180114:1230,20536.11,148.71,138.15,5.03,22.6,4.52,0.14,0.0
20180114:1330,15710.11,113.23,110.38,3.92,18.92,5.09,0.07,0.0
20180114:1430,8494.83,51.1,78.11,2.5,12.98,5.16,0.28,0.0
20180114:1530,2445.05,24.99,22.98,0.73,5.28,4.91,0.34,0.0
20180114:1630,0.0,0.0,0.0,0.0,-3.68,4.7,0.41,0.0
20180114:1730,0.0,0.0,0.0,0.0,0.0,4.49,0.21,0.0
20180114:1830,0.0,0.0,0.0,0.0,0.0,4.31,0.41,0.0
20180114:1930,0.0,0.0,0.0,0.0,0.0,3.98,0.48,0.0
20180114:2030,0.0,0.0,0.0,0.0,0.0,3.75,0.55,0.0
20180114:2130,0.0,0.0,0.0,0.0,0.0,3.43,0.83,0.0
20180114:2230,0.0,0.0,0.0,0.0,0.0,2.84,0.97,0.0
20180114:2330,0.0,0.0,0.0,0.0,0.0,2.04,1.03,0.0
20180115:0030,0.0,0.0,0.0,0.0,0.0,0.92,1.24,0.0
20180115:0130,0.0,0.0,0.0,0.0,0.0,0.79,1.1,0.0
20180115:0230,0.0,0.0,0.0,0.0,0.0,0.76,1.03,0.0
20180115:0330,0.0,0.0,0.0,0.0,0.0,0.11,1.1,0.0
20180115:0430,0.0,0.0,0.0,0.0,0.0,-0.18,1.17,0.0
20180115:0530,0.0,0.0,0.0,0.0,0.0,-0.56,1.17,0.0
20180115:0630,0.0,0.0,0.0,0.0,0.0,-0.64,1.1,0.0
20180115:0730,5084.91,71.84,12.99,0.48,3.03,0.08,0.9,0.0
20180115:0830,16499.32,167.5,61.84,2.47,11.14,0.11,0.9,0.0
20180115:0930,28563.08,286.52,103.05,4.79,17.63,1.62,0.55,0.0
20180115:1030,37442.52,386.79,132.85,6.71,22.0,3.03,0.07,0.0
20180115:1130,38210.08,369.19,161.12,7.36,23.79,4.14,0.55,0.0
20180115:1230,19154.99,139.05,128.41,4.74,22.79,4.74,0.76,0.0
20180115:1330,18747.9,152.35,109.99,4.2,19.12,4.84,0.83,0.0
